Language,Original,Russian
STR_STRIX_PATCH_DESC,Identifier Patch - comes in a variety of patterns and emblems,Идентификационная нашивка - поставляется в виде различных узоров и эмблем
STR_STRIX_FLAG_RUSSIA,Flag Patch — Russia,Нашивка-флаг — Россия
STR_STRIX_FLAG_USSR,Flag Patch — USSR,Нашивка-флаг — СССР
STR_STRIX_FLAG_BELARUS,Flag Patch — Belarus,Нашивка-флаг — Беларусь
STR_STRIX_FLAG_UKRAINE,Flag Patch — Ukraine,Нашивка-флаг — Украина
STR_STRIX_FLAG_KAZAKHSTAN,Flag Patch — Kazakhstan,Нашивка-флаг — Казахстан
STR_STRIX_FLAG_ARMENIA,Flag Patch — Armenia,Нашивка-флаг — Армения
STR_STRIX_FLAG_AZERBAIJAN,Flag Patch — Azerbaijan,Нашивка-флаг — Азербайджан
STR_STRIX_FLAG_GEORGIA,Flag Patch — Georgia,Нашивка-флаг — Грузия
STR_STRIX_FLAG_MOLDOVA,Flag Patch — Moldova,Нашивка-флаг — Молдова
STR_STRIX_FLAG_KYRGYZSTAN,Flag Patch — Kyrgyzstan,Нашивка-флаг — Киргизия
STR_STRIX_FLAG_TAJIKISTAN,Flag Patch — Tajikistan,Нашивка-флаг — Таджикистан
STR_STRIX_FLAG_TURKMENISTAN,Flag Patch — Turkmenistan,Нашивка-флаг — Туркменистан
STR_STRIX_FLAG_UZBEKISTAN,Flag Patch — Uzbekistan,Нашивка-флаг — Узбекистан
STR_STRIX_FLAG_ESTONIA,Flag Patch — Estonia,Нашивка-флаг — Эстония
STR_STRIX_FLAG_LATVIA,Flag Patch — Latvia,Нашивка-флаг — Латвия
STR_STRIX_FLAG_LITHUANIA,Flag Patch — Lithuania,Нашивка-флаг — Литва
STR_STRIX_FLAG_POLAND,Flag Patch — Poland,Нашивка-флаг — Польша
STR_STRIX_FLAG_GERMANY,Flag Patch — Germany,Нашивка-флаг — Германия
STR_STRIX_FLAG_FINLAND,Flag Patch — Finland,Нашивка-флаг — Финляндия
STR_STRIX_FLAG_SWEDEN,Flag Patch — Sweden,Нашивка-флаг — Швеция
STR_STRIX_FLAG_NORWAY,Flag Patch — Norway,Нашивка-флаг — Норвегия
STR_STRIX_FLAG_TURKEY,Flag Patch — Turkey,Нашивка-флаг — Турция
STR_STRIX_FLAG_SERBIA,Flag Patch — Serbia,Нашивка-флаг — Сербия
STR_STRIX_FLAG_ROMANIA,Flag Patch — Romania,Нашивка-флаг — Румыния
STR_STRIX_FLAG_BULGARIA,Flag Patch — Bulgaria,Нашивка-флаг — Болгария
STR_STRIX_FLAG_CZECH,Flag Patch — Czechia,Нашивка-флаг — Чехия
STR_STRIX_FLAG_SLOVAKIA,Flag Patch — Slovakia,Нашивка-флаг — Словакия
STR_STRIX_FLAG_HUNGARY,Flag Patch — Hungary,Нашивка-флаг — Венгрия
STR_STRIX_FLAG_GREECE,Flag Patch — Greece,Нашивка-флаг — Греция
STR_STRIX_FLAG_ITALY,Flag Patch — Italy,Нашивка-флаг — Италия
STR_STRIX_FLAG_FRANCE,Flag Patch — France,Нашивка-флаг — Франция
STR_STRIX_FLAG_SPAIN,Flag Patch — Spain,Нашивка-флаг — Испания
STR_STRIX_FLAG_PORTUGAL,Flag Patch — Portugal,Нашивка-флаг — Португалия
STR_STRIX_FLAG_UNITED_KINGDOM,Flag Patch — United Kingdom,Нашивка-флаг — Великобритания
STR_STRIX_FLAG_UNITED_STATES,Flag Patch — United States,Нашивка-флаг — США
STR_STRIX_FLAG_CANADA,Flag Patch — Canada,Нашивка-флаг — Канада
STR_STRIX_FLAG_ISRAEL,Flag Patch — Israel,Нашивка-флаг — Израиль
STR_STRIX_FLAG_IRAN,Flag Patch — Iran,Нашивка-флаг — Иран
STR_STRIX_FLAG_AFGHANISTAN,Flag Patch — Afghanistan,Нашивка-флаг — Афганистан
STR_STRIX_FLAG_CHINA,Flag Patch — China,Нашивка-флаг — Китай
STR_STRIX_FLAG_JAPAN,Flag Patch — Japan,Нашивка-флаг — Япония
STR_STRIX_FLAG_SOUTH_KOREA,Flag Patch — South Korea,Нашивка-флаг — Южная Корея
STR_STRIX_FLAG_MONGOLIA,Flag Patch — Mongolia,Нашивка-флаг — Монголия
